date (UTC)	so2_110
11.03.2016 17:15	2,155386667
11.03.2016 17:45	2,028753333
11.03.2016 18:15	1,441873333
11.03.2016 18:45	1,578113333
11.03.2016 19:15	0,37204
11.03.2016 19:45	0,493433333
11.03.2016 20:15	1,62702
11.03.2016 20:45	1,187733333
11.03.2016 21:15	1,1659
11.03.2016 21:45	0,764166667
11.03.2016 22:15	0,391253333
11.03.2016 22:45	0,34846
11.03.2016 23:15	1,10826
11.03.2016 23:45	0,57902
12.03.2016 0:15	1,407813333
12.03.2016 0:45	1,140573333
12.03.2016 1:15	0,980753333
12.03.2016 1:45	1,840113333
12.03.2016 2:15	0,815693333
12.03.2016 2:45	0,705653333
12.03.2016 3:15	1,943166667
12.03.2016 3:45	1,489033333
12.03.2016 4:15	0,03668
12.03.2016 4:45	1,898626667
12.03.2016 5:15	1,247993333
12.03.2016 5:45	1,1528
12.03.2016 6:15	1,846226667
12.03.2016 6:45	1,756273333
12.03.2016 7:15	1,530953333
12.03.2016 7:45	1,92308
12.03.2016 8:15	1,36764
12.03.2016 8:45	2,1353
12.03.2016 9:15	3,503813333
12.03.2016 9:45	2,882873333
12.03.2016 10:15	0,24104
12.03.2016 10:45	0
12.03.2016 11:15	0
12.03.2016 11:45	0,60522
12.03.2016 12:15	0,482953333
12.03.2016 12:45	0,541466667
12.03.2016 13:15	3,02348
12.03.2016 13:45	4,293306667
12.03.2016 14:15	1,24188
12.03.2016 14:45	0,185146667
12.03.2016 15:15	1,04276
12.03.2016 15:45	0,152833333
12.03.2016 16:15	0,17292
12.03.2016 16:45	0,923113333
12.03.2016 17:15	1,193846667
12.03.2016 17:45	3,506433333
12.03.2016 18:15	8,03554
12.03.2016 18:45	8,652113333
12.03.2016 19:15	4,715126667
12.03.2016 19:45	1,79208
12.03.2016 20:15	1,31262
12.03.2016 20:45	1,083806667
12.03.2016 21:15	1,847973333
12.03.2016 21:45	1,735313333
12.03.2016 22:15	1,43314
12.03.2016 22:45	1,151926667
12.03.2016 23:15	0,137113333
12.03.2016 23:45	2,265426667
13.03.2016 0:15	1,974606667
13.03.2016 0:45	2,666286667
13.03.2016 1:15	2,5414
13.03.2016 1:45	1,559773333
13.03.2016 2:15	1,487286667
13.03.2016 2:45	2,19556
13.03.2016 3:15	0,852373333
13.03.2016 3:45	0
13.03.2016 4:15	0,661986667
13.03.2016 4:45	1,7947
13.03.2016 5:15	0,661986667
13.03.2016 5:45	0,933593333
13.03.2016 6:15	0,098686667
13.03.2016 6:45	1,677673333
13.03.2016 7:15	0,455006667
13.03.2016 7:45	0,658493333
13.03.2016 8:15	1,047126667
13.03.2016 8:45	0
13.03.2016 9:15	0
13.03.2016 9:45	0,676833333
13.03.2016 10:15	0,151086667
13.03.2016 10:45	0,47684
13.03.2016 11:15	0
13.03.2016 11:45	0,8908
13.03.2016 12:15	0,829666667
13.03.2016 12:45	1,604313333
13.03.2016 13:15	0
13.03.2016 13:45	0,83054
13.03.2016 14:15	1,366766667
13.03.2016 14:45	0,905646667
13.03.2016 15:15	0
13.03.2016 15:45	0,80172
13.03.2016 16:15	0,813946667
13.03.2016 16:45	0,968526667
13.03.2016 17:15	0
13.03.2016 17:45	0,499546667
13.03.2016 18:15	1,112626667
13.03.2016 18:45	0,02882
13.03.2016 19:15	0
13.03.2016 19:45	0,304793333
13.03.2016 20:15	0
13.03.2016 20:45	0
13.03.2016 21:15	1,110006667
13.03.2016 21:45	0,156326667
13.03.2016 22:15	0
13.03.2016 22:45	0,45588
13.03.2016 23:15	1,056733333
13.03.2016 23:45	0,69954
14.03.2016 0:15	0,8646
14.03.2016 0:45	0
14.03.2016 1:15	1,026166667
14.03.2016 1:45	0,415706667
14.03.2016 2:15	0,07598
14.03.2016 2:45	0,88556
14.03.2016 3:15	0,58688
14.03.2016 3:45	1,248866667
14.03.2016 4:15	1,539686667
14.03.2016 4:45	0,41658
14.03.2016 5:15	0
14.03.2016 5:45	0,439286667
14.03.2016 6:15	0
14.03.2016 6:45	0,87246
14.03.2016 7:15	0,606966667
14.03.2016 7:45	0,565046667
14.03.2016 8:15	0,179033333
14.03.2016 8:45	0,991233333
14.03.2016 9:15	0,337106667
14.03.2016 9:45	0,451513333
14.03.2016 10:15	1,593833333
14.03.2016 10:45	1,329213333
14.03.2016 11:15	0,67072
14.03.2016 11:45	1,79732
14.03.2016 12:15	0,71264
14.03.2016 12:45	0,954553333
14.03.2016 13:15	1,478553333
14.03.2016 13:45	0,80696
14.03.2016 14:15	2,240973333
14.03.2016 14:45	2,256693333
14.03.2016 15:15	3,10994
14.03.2016 15:45	2,398173333
14.03.2016 16:15	1,819153333
14.03.2016 16:45	1,725706667
14.03.2016 17:15	0,089953333
14.03.2016 17:45	0,36942
